feature,log2FC,p_value,q_value,grad_avg,grad_mag,volcano_weight,metric_abs,metric_signed,sig_up,sig_down
0,-0.08245849609375,0.8097740841681675,0.9997757329456118,-0.018781438,0.018781438,0.09163612641035641,0.007556177171654755,-0.007556177171654755,False,False
1,-2.7056212425231934,0.43912478997898385,0.9997757329456118,0.003939228,0.003939228,0.35741204491068423,0.9670216210440009,-0.9670216210440009,False,False
2,1.2559890747070312,0.22563451409424579,0.9601468684861524,0.0036815435,0.0036815435,0.6465944679235992,0.8121155874780466,0.8121155874780466,False,False
3,0.06966876983642578,0.632100154176781,0.9997757329456118,0.02373909,0.02373909,0.19921410374261064,0.013879001541813788,0.013879001541813788,False,False
4,5.695752143859863,0.2006803816865281,0.9556208651739433,0.041277602,0.041277602,0.6974950816317521,3.9727591065357624,3.9727591065357624,False,False
5,0.9865942001342773,0.32897953088366416,0.971212108868334,0.0008306299,0.0008306299,0.4828311230251768,0.47635838562095917,0.47635838562095917,False,False
6,-1.0082588195800781,0.5582496548484887,0.9997757329456118,-0.009203782,0.009203782,0.2531715367696335,0.255262434814625,-0.255262434814625,False,False
7,-1.6133537292480469,0.3438405248449762,0.971212108868334,-0.025724791,0.025724791,0.4636429389364411,0.7480200645726317,-0.7480200645726317,False,False
8,-0.05312061309814453,0.7890427923011374,0.9997757329456118,0.019585116,0.019585116,0.10289944298031913,0.005466081498572116,-0.005466081498572116,False,False
9,-0.028512001037597656,0.8670943438755169,0.9997757329456118,-0.018044414,0.018044414,0.06193364670437771,0.001765852199097424,-0.001765852199097424,False,False
10,-2.007065773010254,0.6038086081858932,0.9997757329456118,0.0027887851,0.0027887851,0.21910069975779742,0.4397495153264712,-0.4397495153264712,False,False
11,-1.7498517036437988,0.4605057299304448,0.9997757329456118,0.0031142873,0.0031142873,0.33676496164152503,0.5892887418559611,-0.5892887418559611,False,False
12,-0.014326095581054688,0.8841675069305407,0.9997757329456118,0.015613946,0.015613946,0.05346544941664371,0.0007659511386268824,-0.0007659511386268824,False,False
13,-5.8074541091918945,0.04946141861112865,0.4496492601011695,-0.06915717,0.06915717,1.3057334317242182,7.582986983576045,-7.582986983576045,False,True
14,-2.9244556427001953,0.30320939421248494,0.971212108868334,0.03338609,0.03338609,0.5182573472634632,1.5156206235754695,-1.5156206235754695,False,False
15,-5.584766387939453,0.1506485764553909,0.857562614213708,-0.0068001305,0.0068001305,0.822034967810667,4.590873257939903,-4.590873257939903,False,False
16,-0.062442779541015625,0.7699506060991191,0.9997757329456118,-0.01861125,0.01861125,0.11353713481018853,0.007089574278671173,-0.007089574278671173,False,False
17,0.023528099060058594,0.9059092874605383,0.9997757329456118,0.013087988,0.013087988,0.042915287894603985,0.001009715144775176,0.001009715144775176,False,False
18,0.0686502456665039,0.7578931218397453,0.9997757329456118,0.034272708,0.034272708,0.12039203429923549,0.008264942730932682,0.008264942730932682,False,False
19,2.844057083129883,0.35433995800130125,0.9842776611147257,0.020557648,0.020557648,0.4505798706389387,1.2814748726064198,1.2814748726064198,False,False
20,-0.032993316650390625,0.8486803376267971,0.9997757329456118,0.0042220536,0.0042220536,0.07125585951664465,0.0023509671362284073,-0.0023509671362284073,False,False
21,-0.8960189819335938,0.6067564546861843,0.9997757329456118,0.0047401693,0.0047401693,0.2169855949388677,0.1944232118713794,-0.1944232118713794,False,False
22,-0.8494515419006348,0.6916294923621819,0.9997757329456118,-0.024821756,0.024821756,0.16012649588240702,0.1360196988264563,-0.1360196988264563,False,False
23,0.04536628723144531,0.8957948581002222,0.9997757329456118,0.021984432,0.021984432,0.04779143475258239,0.0021681199561885303,0.0021681199561885303,False,False
24,0.024625778198242188,0.9860725500780192,0.9997757329456118,-0.0002514403,0.0002514403,0.006091130759178103,0.0001499988350520105,0.0001499988350520105,False,False
