feature,log2FC,p_value_ttest,q_value_ttest,grad_avg,grad_mag,volcano_weight,metric_abs,metric_signed,sig_up,sig_down,p_treatment,p_batch,p_interaction,q_treatment,q_batch,q_interaction
0,-0.07145731844722154,0.4646496230119731,0.9041913505106391,0.0018643877,0.0018643877,0.33287441087360664,0.023786312780726574,-0.023786312780726574,False,False,0.4523079410499058,0.027716827426033964,0.11299354679590559,0.8762298938834648,0.0667875359663469,0.8584650300772874
1,0.1458526241509908,0.191038283174745,0.6367942772491499,0.0008203184,0.0008203184,0.7188795934563204,0.10485047515420175,0.10485047515420175,False,False,0.16912313333615955,0.0008690752994826554,0.43645331374582685,0.5646790808513587,0.0037785882586202414,0.8584650300772874
2,0.3073965173602307,0.012016449077034645,0.07752547791635254,0.018661441,0.018661441,1.920223849644692,0.5902701239328336,0.5902701239328336,False,False,0.012815285032384004,0.8682401773505655,0.642349681614836,0.07538402960225886,0.9285991201610325,0.8584650300772874
3,-0.15310266019265942,0.13358020706805332,0.5343208282722133,-0.00016374356,0.00016374356,0.8742578876534133,0.13385120829415276,-0.13385120829415276,False,False,0.09104449726543046,1.983067492281649e-06,0.081917283985639,0.387423392618853,2.1021055828314788e-05,0.8584650300772874
4,0.1326112939479193,0.215620598854583,0.6845098376335969,0.012387771,0.012387771,0.6663097521052048,0.08836019839678855,0.08836019839678855,False,False,0.21044774191108573,0.05216892059826107,0.6061376327339861,0.6680880695590024,0.10646718489441036,0.8584650300772874
5,-0.10679694068471023,0.46565854551297914,0.9041913505106391,-0.034395818,0.034395818,0.3319324226992281,0.03544936725834163,-0.03544936725834163,False,False,0.45324424939058006,0.009169142096222969,0.4673164910551606,0.8762298938834648,0.025469839156174914,0.8584650300772874
6,0.008284504442363175,0.9549854219211669,0.9906538569321143,0.0028212003,0.0028212003,0.020003257973863302,0.00016571707954620714,0.00016571707954620714,False,False,0.9523612106527889,0.0006734494731304956,0.23449318185746315,0.9900814233934792,0.00306113396877498,0.8584650300772874
7,-0.07864472402532156,0.48740861187728635,0.9050334807428563,0.00090253225,0.00090253225,0.3121068016639272,0.024545553283285327,-0.024545553283285327,False,False,0.4732927232135814,0.006860393688284039,0.3497193961004429,0.8889142006480557,0.020478787129206085,0.8584650300772874
8,-0.6241777134755527,2.2824877619203148e-10,1.2053475000128922e-08,-0.20435992,0.20435992,9.641591542356522,6.018066563173322,-6.018066563173322,False,True,1.25821049299808e-11,2.3004947096074274e-05,0.9545441357260863,5.03284197199232e-10,0.00014841901352305982,0.9943168080480066
9,0.02596093288028323,0.8244387553446004,0.981474708743572,-0.02235085,0.02235085,0.08384160103074877,0.002176606176934754,0.002176606176934754,False,False,0.8145949429710706,0.000402331509654005,0.7948227658649842,0.9640176839894327,0.001915864331685738,0.9032076884829366
10,0.5851553821132103,3.530414958311864e-08,5.04344994044552e-07,0.16924502,0.16924502,7.452174245458173,4.360679868175302,4.360679868175302,True,False,4.0340337619208534e-08,0.30528462916507604,0.591755913993695,4.482259735467615e-07,0.43612089880725147,0.8584650300772874
