feature,is_true_up,is_true_down,log2FC,p_value,q_value,neglog10p,volcano_weight,metric_abs,metric_signed,avg_grad,grad_mag,mean_raw,std_raw,mean_norm,std_norm
0,False,False,-0.06442694205593862,0.45633838878774347,0.8860939588111524,0.340712995313666,0.340712995313666,0.021951096406778843,-0.021951096406778843,-0.002288662,0.002288662,0.09057437,1.0923944,-3.1292437e-08,0.9999991
1,False,False,0.16567850707754367,0.1662593072959127,0.5541976909863757,0.7792140332783049,0.7792140332783049,0.12909901772742097,0.12909901772742097,0.02687019,0.02687019,-0.17279264,0.9252198,-2.3841857e-09,0.9999986
2,False,False,0.31043296240061535,0.014349187348716489,0.08199535627837995,1.8431726940492825,1.8431726940492825,0.5721815596296418,0.5721815596296418,0.009686571,0.009686571,-0.18628119,0.9504977,8.34465e-08,0.99999875
3,False,False,-0.1690002005044844,0.09537843398872235,0.4058656765477547,1.0205498124917909,1.0205498124917909,0.1724731229359266,-0.1724731229359266,0.0019016103,0.0019016103,-0.15216008,0.93399596,-2.8014183e-08,0.9999987
4,False,False,0.14877877694423242,0.20919063035128868,0.6640972392104403,0.6794577714197767,0.6794577714197767,0.1010888962170882,0.1010888962170882,0.009661904,0.009661904,-0.040329896,0.90093565,1.7881394e-08,0.99999887
5,False,False,-0.11838875753198067,0.45085030084150346,0.8840201977284382,0.34596763619464654,0.34596763619464654,0.04095867859536051,-0.04095867859536051,-0.020092206,0.020092206,0.19715703,0.9880574,2.3841857e-09,0.9999989
6,False,False,0.0077851551715327596,0.9522228285727122,0.9899961316524615,0.021261410968718003,0.021261410968718003,0.0001655233835571983,0.0001655233835571983,-0.011180943,0.011180943,0.13043056,1.0283071,-1.6093255e-08,0.99999905
7,False,False,-0.08622849611496118,0.4712057514764417,0.8871558442831401,0.3267894172463426,0.3267894172463426,0.02817855999543668,-0.02817855999543668,0.006363331,0.006363331,0.07819211,0.9429543,-3.5762786e-09,0.9999989
8,False,True,-0.578528733497939,1.388131172913773e-11,6.846149669339349e-10,10.857569492828619,10.857569492828619,6.2814159275520005,-6.2814159275520005,-0.17120357,0.17120357,-0.60502505,1.0285074,-1.090765e-07,0.999999
9,False,False,0.023155478478936536,0.8146276185457835,0.9640563533086195,0.08904086999431053,0.08904086999431053,0.0020617839488990433,0.0020617839488990433,0.00429775,0.00429775,-0.05325425,0.9468865,-2.5331975e-08,0.99999887
