feature,log2FC,p_value,q_value,grad_avg,grad_mag,hit
0,-0.06442694205593862,0.45633838878774347,0.8860939588111524,0.0036973313,0.0036973313,False
1,0.16567850707754367,0.1662593072959127,0.5541976909863757,-0.0016449887,0.0016449887,False
2,0.31043296240061535,0.014349187348716489,0.08199535627837995,0.0019391711,0.0019391711,False
3,-0.1690002005044844,0.09537843398872235,0.4058656765477547,-0.030691428,0.030691428,False
4,0.14877877694423242,0.20919063035128868,0.6640972392104403,0.009353828,0.009353828,False
5,-0.11838875753198067,0.45085030084150346,0.8840201977284382,0.01251042,0.01251042,False
6,0.0077851551715327596,0.9522228285727122,0.9899961316524615,-0.0017737651,0.0017737651,False
7,-0.08622849611496118,0.4712057514764417,0.8871558442831401,0.0045409966,0.0045409966,False
8,-0.578528733497939,1.388131172913773e-11,6.846149669339349e-10,-0.17161456,0.17161456,False
9,0.023155478478936536,0.8146276185457835,0.9640563533086195,0.014058912,0.014058912,False
10,0.5733622224840454,3.1292754476336345e-08,3.4769727195929274e-07,0.12733203,0.12733203,False
11,-0.21026046125911427,0.04897892265317777,0.23709631827829172,-0.0948829,0.0948829,False
12,-0.00027339342032420906,0.9981323359029319,0.9990031256567329,0.008816653,0.008816653,False
13,0.3628543850719631,0.009721504348151931,0.06075940217594957,0.011475455,0.011475455,False
14,0.09807164423642742,0.3018675169789722,0.783315254522362,0.0006463438,0.0006463438,False
15,0.6239425842844198,2.9342280668283286e-08,3.4520330197980335e-07,0.090988085,0.090988085,False
16,-0.03183217359186696,0.734558038556475,0.9239723755427357,-0.007940151,0.007940151,False
17,0.06632894950662369,0.635124797752096,0.9163002607368902,0.008140998,0.008140998,False
18,0.6456194059288496,1.2238447917547355e-08,1.8828381411611316e-07,0.18164575,0.18164575,False
19,0.09815702786554623,0.36557764567002593,0.844484711556078,-0.0063298275,0.0063298275,False
20,0.18823145242390768,0.14015082202479193,0.5390416231722767,0.010008369,0.010008369,False
21,0.06489271980847541,0.5705422540960973,0.9163002607368902,0.0149620045,0.0149620045,False
