feature,is_true_up,is_true_down,log2FC,p_value,q_value,neglog10p,volcano_weight,metric_abs,avg_grad,grad_mag
0,False,False,-0.06442694205593862,0.45633838878774347,0.8860939588111524,0.340712995313666,0.340712995313666,0.021951096406778843,0.0037764,0.0037764
1,False,False,0.16567850707754367,0.1662593072959127,0.5541976909863757,0.7792140332783049,0.7792140332783049,0.12909901772742097,0.0058719623,0.0058719623
2,False,False,0.31043296240061535,0.014349187348716489,0.08199535627837995,1.8431726940492825,1.8431726940492825,0.5721815596296418,0.015786804,0.015786804
3,False,False,-0.1690002005044844,0.09537843398872235,0.4058656765477547,1.0205498124917909,1.0205498124917909,0.1724731229359266,0.0046045957,0.0046045957
4,False,False,0.14877877694423242,0.20919063035128868,0.6640972392104403,0.6794577714197767,0.6794577714197767,0.1010888962170882,0.0051661883,0.0051661883
5,False,False,-0.11838875753198067,0.45085030084150346,0.8840201977284382,0.34596763619464654,0.34596763619464654,0.04095867859536051,-0.0583745,0.0583745
6,False,False,0.0077851551715327596,0.9522228285727122,0.9899961316524615,0.021261410968718003,0.021261410968718003,0.0001655233835571983,0.00026162184,0.00026162184
7,False,False,-0.08622849611496118,0.4712057514764417,0.8871558442831401,0.3267894172463426,0.3267894172463426,0.02817855999543668,0.0014289387,0.0014289387
8,False,True,-0.578528733497939,1.388131172913773e-11,6.846149669339349e-10,10.857569492828619,10.857569492828619,6.2814159275520005,-0.14560601,0.14560601
9,False,False,0.023155478478936536,0.8146276185457835,0.9640563533086195,0.08904086999431053,0.08904086999431053,0.0020617839488990433,0.00020542588,0.00020542588
10,True,False,0.5733622224840454,3.1292754476336345e-08,3.4769727195929274e-07,7.504556207348436,7.504556207348436,4.3028290258017385,0.14596213,0.14596213
11,False,False,-0.21026046125911427,0.04897892265317777,0.23709631827829172,1.3099907719047672,1.3099907719047672,0.2754392639458795,-0.009235956,0.009235956
12,False,False,-0.00027339342032420906,0.9981323359029319,0.9990031256567329,0.0008118746021453273,0.0008118746021453273,2.2196117435486748e-07,-0.0007190773,0.0007190773
13,False,False,0.3628543850719631,0.009721504348151931,0.06075940217594957,2.0122665252435756,2.0122665252435756,0.7301597326181536,0.014109028,0.014109028
14,False,False,0.09807164423642742,0.3018675169789722,0.783315254522362,0.5201836175359497,0.5201836175359497,0.05101526267660348,0.0082532475,0.0082532475
15,True,False,0.6239425842844198,2.9342280668283286e-08,3.4520330197980335e-07,7.532506133057282,7.532506133057282,4.699851342798003,0.0893896,0.0893896
16,False,False,-0.03183217359186696,0.734558038556475,0.9239723755427357,0.13397388424538836,0.13397388424538836,0.004264679940075892,-0.0070857666,0.0070857666
17,False,False,0.06632894950662369,0.635124797752096,0.9163002607368902,0.19714093037751515,0.19714093037751515,0.013076150816699017,0.0058334363,0.0058334363
18,True,False,0.6456194059288496,1.2238447917547355e-08,1.8828381411611316e-07,7.91227365601277,7.91227365601277,5.108317417341452,0.15442902,0.15442902
19,False,False,0.09815702786554623,0.36557764567002593,0.844484711556078,0.4370203683511483,0.4370203683511483,0.042896620474054944,0.0026963116,0.0026963116
20,False,False,0.18823145242390768,0.14015082202479193,0.5390416231722767,0.8534043506344539,0.8534043506344539,0.16063754042480502,0.004350854,0.004350854
21,False,False,0.06489271980847541,0.5705422540960973,0.9163002607368902,0.24371218640574355,0.24371218640574355,0.015815146626338848,0.001929578,0.001929578
22,False,False,-0.014410238009218096,0.8989944935734991,0.9899961316524615,0.046242968353498844,0.046242968353498844,0.0006663721802266586,-0.0034353458,0.0034353458
